;Stammdatenexport Flotte (synthetisch);Stand 30.09.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kilometerst‰nde je Stichtag;;;;;;;;;;
Objektnr.;Kennzeichen;Fahrgestell-Nr.;Marke;Modell;Antrieb;Fahrzeug Typ;kW;CO2 g/km (WLTP);Erstzulassung;Status;abgemeldet per;Leasinggeber;Vertragsbeginn;Vertragsende;Vertragsende urspr¸nglich;Vertrag verl‰ngert;Laufzeit (Monate);Laufleistung gesamt (km);Freikilometer;Mehrkilometer (EUR/km);Minderkilometer (EUR/km);Leasingrate exkl. MwSt;davon Servicerate;Anschaffungswert inkl. MwSt;Fahrer (Nach- und Vorname);Fahrerkategorie;Kostenstelle;Standort;Ladekarte Nr.;Ladung@home;‹berpr¸fung f‰llig;km-Stand per 31.12.2021;km-Stand per 30.06.2022;km-Stand per 31.12.2022;km-Stand per 30.06.2023;km-Stand per 31.12.2023;km-Stand per 30.06.2024;km-Stand per 31.12.2024;km-Stand per 30.06.2025;km-Stand per 30.09.2025;km-Stand per 31.12.2025;Bemerkung
383810;G 123AB;WBASWRNKBCS7E63N1;BMW;Klasse 5 - X1 16d sDrive;D;ICE;89;0;13.12.2017;aktiv;;Arval;01.01.2018;01.02.2022;01.02.2022;;49;;7 500;0,0765;0,0765;358,49;113,27;46 036,37;Steiner Manfred;Auﬂendienst;201712;Klagenfurt;;;;132 174;;;;;;;;;;Poolfahrzeug
314592;W 45678C;;SEAT;LEON Kombi;D;ICE;110;;22.02.2022;aktiv;;SHS;08.03.2022;08.03.2025;08.03.2025;;36;75 000;10 000;0,5218;0,5218;672,80;166,43;29 634,11;Wimmer Josef;Auﬂendienst;201819;Graz;;;;;10 511;;38 588;53 366;39 099;88 601;;;;
303278;K 9012D;;SKODA;SUPERB;D;ICE;;;29.03.2021;aktiv;;Arval;02.04.2021;02.09.2024;02.09.2024;;41;185 000;;;;589,18;228,25;36 704,05;Eder Karl;Auﬂendienst;201171;Wien;;;;36 789;57 781;83 514;107 284;77 797;157 689;;;;;
397196;K 8373TX;WBAUXSFU5S61YB8XM;BMW;Klasse E 10.1 - BMW i4 eDrive40;E;BEV;98;;17.03.2020;inaktiv;24.04.2024;Leaseplan;29.03.2020;29.05.2025;29.05.2024;Ja;50;115 000;10 000;0,1276;0,1276;509,69;193,63;29 231,08;Haas Markus;Auﬂendienst;201195;Wien;144643;;;66 713;91 580;98 786;116 893;80 403;166 695;;;;;
336048;SL 344SJ;;BMW;318d;D;;;;20.04.2019;inaktiv;18.04.2023;Leaseplan;27.04.2019;27.04.2023;27.04.2023;;48;95 000;7 500;;;962,09;270,50;17 696,01;Aigner Birgit;Auﬂendienst;201566;Linz;;;;69 828;81 968;51 994;97 052;;;;;;;
332098;K 124XG;;PEUGEOT;508 SW;D;ICE;;;09.12.2020;inaktiv;30.11.2025;Ayvens;19.12.2020;19.12.2026;19.12.2026;;72;105 000;;;;534,58;101,18;29 477,75;Fischer Stefan;Auﬂendienst;201464;Wien;;;;24 325;37 095;50 292;53 868;71 143;83 358;98 518;67 995;113 325;;
329256;S 17651C;WAUUCM75UM48F7Z3Y;AUDI;A4;D;ICE;85;;21.11.2023;aktiv;;Ayvens;28.11.2023;28.11.2028;28.11.2028;;60;185 000;;0,5521;0,5521;920,28;330,37;33 820,00;Kovacs Franz;Auﬂendienst;201465;Wien;;;2027 J‰nner;;;;;5 239;30 658;51 149;83 153;92 500;;
